CH1	59.00	-77.00	55.00
CH2	72.00	-58.00	48.00
CH3	78.00	-35.00	49.00
CH4	78.00	-11.00	46.00
CH5	74.00	13.00	47.00
CH6	64.00	33.00	46.00
CH7	52.00	51.00	45.00
CH8	38.00	66.00	45.00
CH9	19.00	76.00	46.00
CH10	-4.00	77.00	48.00
CH11	50.00	-92.00	44.00
CH12	67.00	-73.00	41.00
CH13	78.00	-51.00	38.00
CH14	84.00	-28.00	35.00
CH15	80.00	0.00	35.00
CH16	75.00	24.00	33.00
CH17	63.00	45.00	32.00
CH18	49.00	64.00	32.00
CH19	30.00	78.00	33.00
CH20	5.00	84.00	35.00
CH21	-19.00	82.00	38.00
CH22	61.00	-87.00	30.00
CH23	75.00	-67.00	21.00
CH24	83.00	-41.00	24.00
CH25	83.00	-15.00	20.00
CH26	82.00	12.00	20.00
CH27	73.00	37.00	19.00
CH28	59.00	58.00	19.00
CH29	41.00	75.00	19.00
CH30	18.00	86.00	20.00
CH31	-9.00	89.00	24.00
CH32	50.00	-101.00	18.00
CH33	69.00	-81.00	14.00
CH34	80.00	-56.00	10.00
CH35	87.00	-31.00	3.00
CH36	84.00	-3.00	6.00
CH37	79.00	24.00	5.00
CH38	68.00	49.00	5.00
CH39	53.00	70.00	4.00
CH40	30.00	84.00	4.00
CH41	3.00	90.00	8.00
CH42	-25.00	87.00	11.00
CH43	61.00	-95.00	1.00
CH44	75.00	-72.00	-3.00
CH45	86.00	-47.00	-6.00
CH46	86.00	-18.00	-8.00
CH47	83.00	10.00	-10.00
CH48	75.00	37.00	-11.00
CH49	61.00	61.00	-11.00
CH50	43.00	82.00	-11.00
CH51	16.00	90.00	-9.00
CH52	-13.00	91.00	-6.00
